trade_id,pair,direction,setup_type,entry_price,sl_price,tp1,tp2,position_size,leverage,entry_time,close_time,exit_price,pnl_usd,exit_reason
1,ETH/USDT,short,setup_a,2559.59,2578.00,2541.19,2513.58,5.433011,1.39,2026-03-01 01:30,2026-03-01 01:30,2513.58,236.22,tp
2,ETH/USDT,long,setup_h,1987.84,1953.01,2022.67,2057.50,2.938909,0.57,2026-03-01 18:10,2026-03-01 18:15,2057.50,198.78,tp
3,ETH/USDT,long,setup_h,1946.62,1925.73,1967.51,1988.40,4.995212,0.93,2026-03-01 22:15,2026-03-01 22:30,1988.40,198.87,tp
4,ETH/USDT,long,setup_h,1965.69,1942.65,1988.73,2011.77,4.615395,0.85,2026-03-02 01:00,2026-03-02 01:15,2011.77,203.50,tp
5,ETH/USDT,long,setup_h,1973.86,1940.16,2007.56,2041.26,3.215837,0.59,2026-03-02 03:25,2026-03-02 03:30,2041.26,210.29,tp
6,ETH/USDT,long,setup_h,1949.41,1962.04,1962.04,1974.67,8.747158,1.54,2026-03-02 06:30,2026-03-02 06:30,1962.04,93.37,sl
7,ETH/USDT,long,setup_h,2491.01,2416.28,2565.74,2640.47,1.490832,0.33,2026-03-02 07:30,2026-03-02 07:30,2416.28,-115.07,sl
8,ETH/USDT,long,setup_h,1948.82,1926.77,1970.87,1992.92,5.000436,0.88,2026-03-02 09:00,2026-03-02 09:15,1992.92,210.66,tp
9,ETH/USDT,long,setup_h,1952.76,1920.16,1985.36,2017.96,3.446818,0.60,2026-03-02 14:30,2026-03-02 14:45,2017.96,217.89,tp
10,ETH/USDT,short,setup_f,2483.28,2509.00,2457.55,2431.83,4.452678,0.97,2026-03-02 15:00,2026-03-02 15:00,2431.83,218.15,tp
11,ETH/USDT,short,setup_f,2483.28,2509.00,2457.55,2431.83,4.537478,0.97,2026-03-02 17:15,2026-03-02 17:15,2431.83,222.30,tp
12,ETH/USDT,short,setup_f,2483.28,2509.00,2457.55,2431.83,4.623893,0.97,2026-03-02 18:00,2026-03-02 18:00,2509.00,-130.49,sl
13,ETH/USDT,long,setup_a,2465.55,2444.73,2486.37,2517.60,5.650699,1.18,2026-03-02 19:45,2026-03-02 19:45,2444.73,-131.52,sl
14,ETH/USDT,long,setup_d_choch,2030.84,2016.30,2045.38,2052.64,8.001758,1.40,2026-03-02 20:10,2026-03-02 20:15,2052.64,158.16,tp
15,ETH/USDT,long,setup_d_choch,2030.84,2016.30,2045.38,2052.64,8.110546,1.40,2026-03-02 21:00,2026-03-02 21:15,2052.64,160.31,tp
16,ETH/USDT,long,setup_d_bos,2030.84,2016.30,2045.38,2052.64,8.220814,1.40,2026-03-02 23:30,2026-03-02 23:45,2052.64,162.49,tp
17,ETH/USDT,long,setup_h,2472.00,2502.00,2502.00,2532.00,4.037969,0.82,2026-03-03 06:15,2026-03-03 06:15,2502.00,111.10,sl
18,ETH/USDT,long,setup_h,2553.06,2528.40,2577.72,2602.38,4.957422,1.04,2026-03-03 11:45,2026-03-03 12:00,2553.06,-12.66,breakeven_sl
19,ETH/USDT,long,setup_h,2547.01,2499.95,2594.07,2641.13,2.595059,0.54,2026-03-03 14:00,2026-03-03 14:00,2499.95,-128.67,sl
20,ETH/USDT,long,setup_h,2592.25,2525.43,2659.07,2725.89,1.808392,0.39,2026-03-03 16:15,2026-03-03 20:15,2581.25,-24.57,timeout
21,ETH/USDT,long,setup_h,2583.87,2560.00,2607.74,2631.61,5.051991,1.08,2026-03-04 01:30,2026-03-04 03:30,2560.00,-133.58,sl
22,ETH/USDT,short,setup_b,2563.12,2595.79,2530.45,2497.78,3.650297,0.78,2026-03-04 10:00,2026-03-04 10:15,2595.79,-128.67,sl
