trade_id,pair,direction,setup_type,entry_price,sl_price,tp1,tp2,position_size,leverage,entry_time,close_time,exit_price,pnl_usd,exit_reason
1,ETH/USDT,short,setup_a,2559.59,2588.87,2530.32,2486.40,3.415801,0.87,2026-03-01 01:30,2026-03-01 01:30,2486.40,241.38,tp
2,ETH/USDT,long,setup_a,2465.55,2439.33,2491.77,2531.09,3.906581,0.94,2026-03-02 19:45,2026-03-02 19:45,2439.33,-111.99,sl
3,ETH/USDT,long,setup_d_choch,2030.84,2016.30,2045.38,2052.64,6.967525,1.40,2026-03-02 20:10,2026-03-02 20:15,2052.64,137.71,tp
4,ETH/USDT,long,setup_d_choch,2030.84,2016.30,2045.38,2052.64,7.062252,1.40,2026-03-02 21:00,2026-03-02 21:15,2052.64,139.59,tp
5,ETH/USDT,long,setup_d_bos,2030.84,2016.30,2045.38,2052.64,7.158268,1.40,2026-03-02 23:30,2026-03-02 23:45,2052.64,141.49,tp
6,ETH/USDT,long,setup_a,2540.13,2511.07,2569.20,2612.79,3.629346,0.87,2026-03-04 04:30,2026-03-04 05:15,2511.07,-114.65,sl
7,ETH/USDT,short,setup_f,2581.47,2635.42,2527.51,2473.56,1.933823,0.48,2026-03-04 10:15,2026-03-04 10:30,2635.42,-109.38,sl
8,ETH/USDT,short,setup_d_bos,2118.11,2130.99,2105.22,2098.78,8.012843,1.64,2026-03-05 14:45,2026-03-05 14:45,2098.78,137.97,tp
9,ETH/USDT,short,setup_d_bos,1983.81,1995.00,1972.61,1967.02,9.347433,1.77,2026-03-07 07:45,2026-03-07 11:45,1987.47,-52.80,timeout
10,ETH/USDT,short,setup_d_bos,1983.81,1995.00,1972.61,1967.02,9.300263,1.77,2026-03-07 14:30,2026-03-07 18:00,1967.02,137.77,tp
11,ETH/USDT,long,setup_a,2015.98,1974.95,2057.02,2118.57,2.570356,0.49,2026-03-09 19:15,2026-03-10 07:15,2051.80,86.84,timeout
12,ETH/USDT,short,setup_d_choch,2066.36,2081.97,2050.75,2042.95,6.812469,1.32,2026-03-12 15:15,2026-03-12 15:15,2050.75,92.32,trailing_sl
13,ETH/USDT,long,setup_g,2154.74,2117.75,2191.74,2228.73,2.899431,0.58,2026-03-15 22:30,2026-03-16 03:30,2228.73,208.17,tp
14,ETH/USDT,long,setup_b,2121.41,2095.72,2147.10,2172.79,4.256526,0.83,2026-03-24 14:45,2026-03-24 20:15,2121.41,-9.03,breakeven_sl
15,ETH/USDT,short,setup_a,2183.93,2220.79,2147.07,2091.78,2.964078,0.59,2026-03-25 16:15,2026-03-26 04:15,2151.69,89.13,timeout
16,ETH/USDT,long,setup_a,1991.30,1953.34,2029.26,2086.20,2.901554,0.52,2026-03-27 15:45,2026-03-28 03:45,1988.12,-15.00,timeout
17,XRP/USDT,long,setup_b,1.33,1.32,1.35,1.36,7312.112980,0.89,2026-03-28 23:00,2026-03-29 11:00,1.34,16.37,timeout
18,LINK/USDT,short,setup_d_bos,8.59,8.63,8.54,8.52,2413.115978,1.88,2026-03-28 13:30,2026-03-28 13:30,8.63,-130.93,sl
